source,source_url,project_name,full_name,description,stars,forks,language,topics,owner_type,license
"GitHub","https://github.com/langflow-ai/langflow","langflow","langflow-ai/langflow","Langflow is a powerful tool for building and deploying AI-powered agents and workflows.","144866","8461","Python","agents, chatgpt, generative-ai, large-language-models, multiagent, react-flow","Organization","MIT License"
"GitHub","https://github.com/langgenius/dify","dify","langgenius/dify","Production-ready platform for agentic workflow development.","129747","20190","TypeScript","agent, agentic-ai, agentic-framework, agentic-workflow, ai, automation, gemini, genai, gpt, gpt-4, llm, low-code, mcp, nextjs, no-code, openai, orchestration, python, rag, workflow","Organization","Other"
"GitHub","https://github.com/langchain-ai/langchain","langchain","langchain-ai/langchain","🦜🔗 The platform for reliable agents.","126836","20876","Python","agents, ai, ai-agents, anthropic, chatgpt, deepagents, enterprise, framework, gemini, generative-ai, langchain, langgraph, llm, multiagent, open-source, openai, pydantic, python, rag","Organization","MIT License"
"GitHub","https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools","system-prompts-and-models-of-ai-tools","x1xhlol/system-prompts-and-models-of-ai-tools","FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models","114962","29655","null","ai, bolt, cluely, copilot, cursor, cursorai, devin, github-copilot, lovable, open-source, perplexity, replit, system-prompts, trae, trae-ai, trae-ide, v0, vscode, windsurf, windsurf-ai","User","GNU General Public License v3.0"
"GitHub","https://github.com/Shubhamsaboo/awesome-llm-apps","awesome-llm-apps","Shubhamsaboo/awesome-llm-apps","Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.","95763","13882","Python","agents, llms, python, rag","User","Apache License 2.0"
"GitHub","https://github.com/google-gemini/gemini-cli","gemini-cli","google-gemini/gemini-cli","An open-source AI agent that brings the power of Gemini directly into your terminal.","94756","11223","TypeScript","ai, ai-agents, cli, gemini, gemini-api, mcp-client, mcp-server","Organization","Apache License 2.0"
"GitHub","https://github.com/browser-use/browser-use","browser-use","browser-use/browser-use","🌐 Make websites accessible for AI agents. Automate tasks online with ease.","78495","9287","Python","ai-agents, ai-tools, browser-automation, browser-use, llm, playwright, python","Organization","MIT License"
"GitHub","https://github.com/infiniflow/ragflow","ragflow","infiniflow/ragflow","RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs","73365","8136","Python","agent, agentic, agentic-ai, agentic-workflow, ai, ai-search, context-engineering, context-retrieval, deep-research, deepseek, deepseek-r1, document-parser, document-understanding, graphrag, llm, mcp, ollama, openai, rag, retrieval-augmented-generation","Organization","Apache License 2.0"
"GitHub","https://github.com/lobehub/lobehub","lobehub","lobehub/lobehub","The ultimate space for work and life — to find, build, and collaborate with agent teammates that grow with you. We are taking agent harness to the next level — enabling multi-agent collaboration, effortless agent team design, and introducing agents as the unit of work interaction.","72339","14632","TypeScript","agent, agent-collaboration, agent-harness, ai, chatgpt, claude, deepseek, gemini, gpt, knowledge-base, mcp, openai","Organization","Other"
"GitHub","https://github.com/dair-ai/Prompt-Engineering-Guide","Prompt-Engineering-Guide","dair-ai/Prompt-Engineering-Guide","🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI Agents.","70450","7520","MDX","agent, agents, ai-agents, chatgpt, deep-learning, generative-ai, language-model, llms, openai, prompt-engineering, rag","Organization","MIT License"
